emnist,font,handwritten,mnist,hasy
0,75166,1016,55,6903,1466
1,80085,1016,55,7877,763
2,74255,1016,55,6990,5365
3,76405,1016,55,7141,2281
4,72586,1016,55,6824,1571
5,67671,1016,55,6313,894
6,74014,1016,55,6876,795
7,77689,1016,55,7293,727
8,73463,1016,55,6825,694
9,73253,1016,55,6958,677

emnist,font,handwritten,hasy,synthetic
a,22711,976,55,2363,96
b,11562,972,55,1553,106
c,6078,972,55,0,91
d,23279,972,55,1045,139
e,57021,972,55,458,75
f,5454,972,55,594,123
g,8115,972,55,313,133
h,19930,972,55,257,107
i,5630,972,55,877,76
j,4074,972,55,277,103
k,5519,972,55,406,139
l,33061,972,55,96,62
m,5743,972,55,443,122
n,26172,972,55,1856,81
o,5976,972,55,0,73
p,5217,972,55,0,111
q,6613,972,55,299,102
r,32359,972,55,459,86
s,5834,972,55,348,91
t,42020,972,55,663,99
u,6149,972,55,228,91
v,6232,972,55,109,92
w,5861,972,55,83,138
x,6112,972,55,5264,116
y,5105,972,55,1305,114
z,5902,972,55,1031,98

emnist,font,handwritten,hasy
A,14637,1048,55,274,140
B,8618,1052,55,245,126
C,23148,1052,55,1168,157
D,10286,1052,55,0,121
E,11205,1052,55,142,128
F,20825,1052,55,199,125
G,5539,1052,55,87,157
H,6944,1052,55,101,129
I,25166,1052,55,68,70
J,8350,1052,55,14,129
K,5323,1052,55,215,154
L,11276,1052,55,121,101
M,20513,1052,55,117,161
N,18737,1052,55,151,147
O,57819,1052,55,110,111
P,19021,1052,55,656,132
Q,5582,1052,55,0,146
R,11318,1052,55,190,126
S,48099,1052,55,0,140
T,22323,1052,55,91,121
U,28750,1052,55,89,137
V,10384,1052,55,267,133
W,10527,1052,55,55,159
X,5934,1052,55,0,157
Y,10629,1052,55,547,130
Z,5863,1052,55,0,143
